Date,Provinsi,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
04/06/2021,Jawa Timur,4,29,3,-14,-13,4
05/06/2021,Jawa Timur,5,30,7,-11,-8,2
06/06/2021,Jawa Timur,5,28,9,-11,-1,2
07/06/2021,Jawa Timur,8,29,15,-14,-16,3
08/06/2021,Jawa Timur,7,29,13,-14,-16,3
09/06/2021,Jawa Timur,8,31,10,-14,-15,3
10/06/2021,Jawa Timur,6,27,13,-15,-14,4
11/06/2021,Jawa Timur,1,23,-1,-19,-13,5
12/06/2021,Jawa Timur,1,23,2,-16,-7,3
13/06/2021,Jawa Timur,3,22,10,-16,0,3
14/06/2021,Jawa Timur,4,22,9,-16,-16,5
15/06/2021,Jawa Timur,0,19,3,-18,-16,5
16/06/2021,Jawa Timur,4,25,5,-17,-16,4
17/06/2021,Jawa Timur,1,20,5,-19,-16,5
18/06/2021,Jawa Timur,-2,19,-5,-22,-15,5
19/06/2021,Jawa Timur,-5,17,-9,-22,-8,4
20/06/2021,Jawa Timur,-3,17,-1,-22,-2,4
21/06/2021,Jawa Timur,-3,15,2,-20,-22,6
22/06/2021,Jawa Timur,-2,18,3,-19,-22,6
23/06/2021,Jawa Timur,-1,21,3,-21,-22,6
24/06/2021,Jawa Timur,-9,10,-6,-26,-22,8
25/06/2021,Jawa Timur,-5,22,-9,-28,-21,7
26/06/2021,Jawa Timur,-7,19,-10,-28,-13,6
27/06/2021,Jawa Timur,-6,17,-8,-30,-2,6
28/06/2021,Jawa Timur,-4,20,0,-26,-25,8
29/06/2021,Jawa Timur,-5,21,-1,-26,-24,7
30/06/2021,Jawa Timur,-5,25,-4,-28,-25,7
01/04/2021,Bali,-32,-17,-44,-56,-37,7
02/04/2021,Bali,-33,-20,-31,-62,-57,11
03/04/2021,Bali,-32,-18,-40,-61,-36,6
04/04/2021,Bali,-34,-19,-35,-59,-33,7
05/04/2021,Bali,-32,-15,-44,-57,-38,8
06/04/2021,Bali,-35,-20,-52,-58,-38,9
07/04/2021,Bali,-32,-15,-50,-59,-37,9
08/04/2021,Bali,-37,-23,-49,-59,-39,9
09/04/2021,Bali,-32,-18,-46,-62,-36,8
10/04/2021,Bali,-30,-14,-49,-55,-34,7
11/04/2021,Bali,-33,-14,-46,-60,-31,8
12/04/2021,Bali,-31,-7,-46,-60,-42,8
13/04/2021,Bali,-44,-25,-48,-66,-62,14
14/04/2021,Bali,-41,-29,-14,-69,-69,10
15/04/2021,Bali,-36,-25,3,-64,-61,8
16/04/2021,Bali,-35,-20,-43,-69,-38,9
17/04/2021,Bali,-36,-23,-49,-66,-35,10
18/04/2021,Bali,-39,-25,-46,-67,-31,11
19/04/2021,Bali,-33,-17,-48,-64,-36,10
20/04/2021,Bali,-33,-17,-46,-62,-37,9
21/04/2021,Bali,-31,-14,-46,-62,-36,10
22/04/2021,Bali,-32,-14,-48,-62,-36,10
23/04/2021,Bali,-39,-21,-52,-68,-48,14
24/04/2021,Bali,-41,-32,-31,-66,-54,9
25/04/2021,Bali,-36,-23,-25,-63,-36,7
26/04/2021,Bali,-34,-18,-43,-63,-36,9
27/04/2021,Bali,-34,-21,-46,-63,-36,9
28/04/2021,Bali,-32,-17,-47,-62,-35,10
29/04/2021,Bali,-34,-20,-47,-63,-34,10
30/04/2021,Bali,-33,-17,-48,-64,-32,9
01/05/2021,Bali,-32,-18,-44,-60,-43,9
02/05/2021,Bali,-34,-18,-41,-62,-31,8
03/05/2021,Bali,-31,-14,-49,-59,-35,9
04/05/2021,Bali,-33,-18,-48,-51,-38,8
05/05/2021,Bali,-32,-16,-47,-51,-37,8
06/05/2021,Bali,-34,-20,-46,-77,-36,9
07/05/2021,Bali,-34,-20,-51,-80,-33,10
08/05/2021,Bali,-32,-19,-50,-78,-34,8
09/05/2021,Bali,-36,-22,-45,-80,-31,9
10/05/2021,Bali,-32,-16,-49,-76,-36,9
11/05/2021,Bali,-32,-16,-47,-75,-37,9
12/05/2021,Bali,-29,-9,-39,-75,-50,12
13/05/2021,Bali,-36,-24,-16,-78,-64,12
14/05/2021,Bali,-37,-24,-13,-81,-62,14
15/05/2021,Bali,-35,-21,-33,-78,-42,8
16/05/2021,Bali,-36,-22,-34,-79,-31,8
17/05/2021,Bali,-32,-16,-45,-76,-35,9
18/05/2021,Bali,-33,-18,-45,-52,-36,9
19/05/2021,Bali,-34,-18,-47,-56,-36,10
20/05/2021,Bali,-33,-18,-39,-59,-34,9
21/05/2021,Bali,-33,-18,-41,-64,-32,10
22/05/2021,Bali,-32,-17,-42,-58,-30,9
23/05/2021,Bali,-35,-20,-34,-61,-28,9
24/05/2021,Bali,-32,-16,-41,-60,-33,10
25/05/2021,Bali,-30,-14,-39,-53,-34,9
26/05/2021,Bali,-30,-16,-18,-49,-55,14
27/05/2021,Bali,-29,-15,-36,-55,-32,9
28/05/2021,Bali,-29,-14,-42,-60,-30,11
29/05/2021,Bali,-27,-12,-37,-52,-29,7
30/05/2021,Bali,-28,-14,-27,-56,-26,7
31/05/2021,Bali,-24,-7,-32,-53,-31,8
01/06/2021,Bali,-24,-11,-19,-46,-55,13
02/06/2021,Bali,-23,-7,-35,-49,-31,9
03/06/2021,Bali,-25,-8,-33,-53,-30,9
04/06/2021,Bali,-25,-9,-34,-59,-30,9
05/06/2021,Bali,-24,-9,-34,-52,-29,7
06/06/2021,Bali,-27,-10,-27,-56,-26,8
07/06/2021,Bali,-24,-6,-35,-53,-31,9
08/06/2021,Bali,-26,-11,-33,-55,-33,9
09/06/2021,Bali,-23,-8,-32,-53,-32,9
10/06/2021,Bali,-24,-9,-31,-52,-30,8
11/06/2021,Bali,-24,-10,-35,-57,-28,9
12/06/2021,Bali,-24,-9,-35,-52,-28,7
13/06/2021,Bali,-27,-12,-28,-54,-27,7
14/06/2021,Bali,-24,-9,-31,-53,-34,8
15/06/2021,Bali,-25,-10,-32,-52,-33,8
16/06/2021,Bali,-24,-9,-30,-49,-35,8
17/06/2021,Bali,-27,-12,-31,-51,-33,9
18/06/2021,Bali,-27,-11,-35,-55,-31,9
19/06/2021,Bali,-26,-11,-35,-50,-31,7
20/06/2021,Bali,-29,-13,-28,-53,-28,7
21/06/2021,Bali,-26,-9,-32,-53,-33,9
22/06/2021,Bali,-27,-11,-32,-52,-34,9
23/06/2021,Bali,-28,-10,-33,-52,-34,10
24/06/2021,Bali,-30,-16,-30,-54,-35,10
25/06/2021,Bali,-31,-16,-41,-60,-33,11
26/06/2021,Bali,-26,-11,-37,-54,-31,7
27/06/2021,Bali,-29,-13,-30,-57,-27,8
28/06/2021,Bali,-26,-8,-38,-56,-34,10
29/06/2021,Bali,-27,-11,-33,-56,-34,8
30/06/2021,Bali,-27,-9,-37,-60,-33,8
